timestamp,sample_number,experiment_id,workload_id,workload_type,elapsed_seconds,cpu_percent,cpu_frequency_mhz,load_1m,cpu_core_avg,cpu_core_max,memory_percent,memory_used_mb,memory_available_mb,memory_cached_mb,swap_percent,swap_used_mb,disk_read_mbps,disk_write_mbps,disk_usage_percent,network_rx_mbps,network_tx_mbps,network_packets_sent,network_packets_recv,network_errors_in,network_errors_out,network_drops_in,network_drops_out,source_file
2026-08-23T11:45:26.466,1,EXP001,M001,memory_intensive,0.0199,25.0,4.0,2.18,30.0,100.0,55.5,6470.94,7285.91,0.0,19.4,396.38,0.0,0.0,5.4,0.0,0.0,8353069,31553427,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:27.459,2,EXP001,M001,memory_intensive,0.9925,14.3,4.0,2.18,14.55,43.9,55.7,6498.98,7250.56,0.0,19.4,396.38,0.0,0.0,5.4,0.0256,0.0256,8353119,31553571,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:28.459,3,EXP001,M001,memory_intensive,1.0,15.1,4.0,2.0,15.08,45.0,55.7,6494.84,7255.72,0.0,19.4,396.38,0.0039,0.0,5.4,0.0762,0.0049,8353154,31553906,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:29.454,4,EXP001,M001,memory_intensive,0.9952,14.2,4.0,2.0,14.23,41.4,56.1,6568.23,7190.97,0.0,19.4,396.38,0.0,0.0079,5.4,0.1099,0.0059,8353190,31554401,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:30.459,5,EXP001,M001,memory_intensive,1.0048,13.1,4.0,2.0,13.23,42.4,55.9,6528.5,7228.23,0.0,19.4,396.38,0.0,0.0,5.4,0.1089,0.0029,8353214,31554876,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:31.464,6,EXP001,M001,memory_intensive,1.0046,15.7,4.0,2.0,15.65,44.4,56.7,6647.88,7101.64,0.0,19.4,396.38,0.0,0.0,5.4,0.1351,0.0243,8353276,31555425,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:32.459,7,EXP001,M001,memory_intensive,0.9954,13.8,4.0,2.0,13.86,41.4,56.5,6633.33,7119.78,0.0,19.4,396.38,0.0,0.0039,5.4,0.1403,0.0049,8353314,31555975,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:33.456,8,EXP001,M001,memory_intensive,0.9967,11.8,4.0,1.84,11.81,36.4,56.4,6612.2,7140.53,0.0,19.4,396.38,0.0,0.972,5.4,0.147,0.0029,8353343,31556597,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:34.459,9,EXP001,M001,memory_intensive,1.0033,12.1,4.0,1.84,12.2,38.4,56.3,6597.56,7160.2,0.0,19.4,396.38,0.0,0.0,5.4,0.1684,0.0039,8353377,31557260,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:35.459,10,EXP001,M001,memory_intensive,1.0,11.9,4.0,1.84,11.96,38.0,56.1,6570.34,7188.08,0.0,19.4,396.38,0.0,0.0,5.4,0.2207,0.0039,8353404,31558074,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:36.465,11,EXP001,M001,memory_intensive,1.0062,17.7,4.0,1.84,17.69,40.8,56.3,6590.25,7166.56,0.0,19.4,396.38,0.1009,0.0699,5.4,0.1,0.0039,8353433,31558461,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:37.459,12,EXP001,M001,memory_intensive,0.9937,24.7,4.0,1.84,24.75,60.6,56.3,6593.95,7160.34,0.0,19.4,396.38,0.0,0.0,5.4,0.0285,0.0029,8353455,31558598,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:38.459,13,EXP001,M001,memory_intensive,1.0,17.5,4.0,1.77,17.51,42.0,56.1,6556.34,7196.06,0.0,19.4,396.38,0.0,0.0,5.4,0.0342,0.0039,8353482,31558764,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:39.456,14,EXP001,M001,memory_intensive,0.997,20.1,4.0,1.77,20.04,48.5,56.6,6648.88,7109.62,0.0,19.4,396.38,0.0627,0.0,5.4,0.0421,0.0029,8353512,31558937,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:40.459,15,EXP001,M001,memory_intensive,1.003,20.2,4.0,1.77,20.24,46.5,56.6,6654.58,7109.0,0.0,19.4,396.38,0.0,2.5198,5.4,0.0185,0.0078,8353537,31559027,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:41.465,16,EXP001,M001,memory_intensive,1.0063,19.9,4.0,1.77,19.91,43.4,56.9,6697.14,7054.48,0.0,19.4,396.38,0.0466,0.5667,5.4,0.0311,0.0068,8353566,31559172,0,0,0,0,EXP001_M001_memory_intensive.csv
2026-08-23T11:45:42.459,17,EXP001,M001,memory_intensive,0.9937,15.2,4.0,1.77,15.24,42.4,56.7,6671.19,7090.38,0.0,19.4,396.38,0.0,0.0,5.4,0.0138,0.0108,8353596,31559260,0,0,0,0,EXP001_M001_memory_intensive.csv
